unique_id	state	dot_district	county	town
0	Vermont	1	Windham	Stratton
1	Vermont	1	Windham	Stratton
2	Vermont	1	Windham	Stratton
3	Vermont	1	Windham	Stratton
4	Vermont	1	Windham	Stratton
5	Vermont	1	Windham	Stratton
6	Vermont	1	Windham	Stratton
7	Vermont	1	Windham	Stratton
8	Vermont	1	Windham	Stratton
9	Vermont	1	Windham	Stratton
10	Vermont	1	Windham	Stratton
10	Vermont	1	Bennington	Stratton
11	Vermont	1	Bennington	Sunderland
11	Vermont	1	Bennington	Stratton
12	Vermont	1	Bennington	Sunderland
12	Vermont	1	Bennington	Stratton
13	Vermont	1	Bennington	Sunderland
14	Vermont	1	Bennington	Sunderland
15	Vermont	1	Bennington	Sunderland
16	Vermont	1	Windham	Stratton
17	Vermont	1	Windham	Sunderland
17	Vermont	1	Windham	Stratton
17	Vermont	1	Bennington	Sunderland
17	Vermont	1	Bennington	Stratton
18	Vermont	1	Windham	Sunderland
18	Vermont	1	Windham	Stratton
18	Vermont	1	Bennington	Sunderland
18	Vermont	1	Bennington	Stratton
19	Vermont	1	Windham	Stratton
20	Vermont	1	Windham	Stratton
21	Vermont	1	Windham	Stratton
22	Vermont	1	Windham	Stratton
23	Vermont	1	Windham	Stratton
24	Vermont	1	Windham	Stratton
25	Vermont	1	Windham	Stratton
26	Vermont	1	Windham	Stratton
27	Vermont	1	Windham	Stratton
28	Vermont	1	Windham	Stratton
29	Vermont	1	Windham	Stratton
30	Vermont	1	Windham	Stratton
31	Vermont	1	Windham	Stratton
32	Vermont	1	Windham	Stratton
33	Vermont	1	Windham	Stratton
34	Vermont	1	Windham	Stratton
35	Vermont	1	Windham	Stratton
36	Vermont	1	Windham	Stratton
37	Vermont	1	Windham	Stratton
38	Vermont	1	Windham	Stratton
39	Vermont	1	Windham	Stratton
40	Vermont	1	Windham	Stratton
41	Vermont	1	Windham	Stratton
42	Vermont	1	Windham	Stratton
43	Vermont	1	Windham	Stratton
44	Vermont	1	Windham	Stratton
45	Vermont	1	Windham	Stratton
45	Vermont	1	Windham	Somerset
46	Vermont	1	Windham	Stratton
47	Vermont	1	Windham	Stratton
48	Vermont	1	Windham	Stratton
49	Vermont	1	Windham	Stratton
50	Vermont	1	Windham	Stratton
51	Vermont	1	Windham	Stratton
52	Vermont	1	Windham	Stratton
52	Vermont	1	Windham	Somerset
53	Vermont	1	Windham	Stratton
54	Vermont	1	Windham	Stratton
54	Vermont	1	Windham	Somerset
55	Vermont	1	Windham	Stratton
55	Vermont	1	Windham	Somerset
56	Vermont	1	Windham	Somerset
57	Vermont	1	Windham	Somerset
58	Vermont	1	Windham	Stratton
58	Vermont	1	Windham	Somerset
59	Vermont	1	Windham	Somerset
60	Vermont	1	Windham	Somerset
61	Vermont	1	Windham	Somerset
62	Vermont	1	Windham	Somerset
63	Vermont	1	Windham	Somerset
64	Vermont	1	Windham	Somerset
65	Vermont	1	Windham	Somerset
66	Vermont	1	Windham	Somerset
67	Vermont	1	Windham	Stratton
68	Vermont	1	Windham	Somerset
69	Vermont	1	Windham	Stratton
69	Vermont	1	Windham	Somerset
70	Vermont	1	Windham	Somerset
71	Vermont	1	Windham	Stratton
72	Vermont	1	Bennington	Sunderland
72	Vermont	1	Bennington	Glastenbury
73	Vermont	1	Bennington	Sunderland
73	Vermont	1	Bennington	Glastenbury
74	Vermont	1	Windham	Somerset
75	Vermont	1	Windham	Sunderland
75	Vermont	1	Windham	Somerset
75	Vermont	1	Bennington	Sunderland
75	Vermont	1	Bennington	Somerset
76	Vermont	1	Windham	Sunderland
76	Vermont	1	Windham	Somerset
76	Vermont	1	Bennington	Sunderland
76	Vermont	1	Bennington	Somerset
77	Vermont	1	Windham	Dover
78	Vermont	1	Windham	Dover
79	Vermont	1	Windham	Somerset
80	Vermont	1	Windham	Somerset
81	Vermont	1	Windham	Stratton
81	Vermont	1	Windham	Somerset
81	Vermont	1	Windham	Dover
82	Vermont	1	Windham	Somerset
83	Vermont	1	Windham	Somerset
84	Vermont	1	Windham	Somerset
85	Vermont	1	Windham	Stratton
85	Vermont	1	Windham	Somerset
86	Vermont	1	Windham	Somerset
87	Vermont	1	Bennington	Glastenbury
88	Vermont	1	Bennington	Glastenbury
89	Vermont	1	Bennington	Glastenbury
90	Vermont	1	Bennington	Glastenbury
91	Vermont	1	Bennington	Glastenbury
92	Vermont	1	Windham	Dover
93	Vermont	1	Windham	Dover
94	Vermont	1	Windham	Dover
95	Vermont	1	Windham	Dover
96	Vermont	1	Windham	Dover
97	Vermont	1	Windham	Dover
98	Vermont	1	Windham	Stratton
98	Vermont	1	Windham	Dover
99	Vermont	1	Windham	Dover
100	Vermont	1	Windham	Stratton
100	Vermont	1	Windham	Dover
101	Vermont	1	Windham	Stratton
102	Vermont	1	Windham	Stratton
103	Vermont	1	Windham	Wardsboro
103	Vermont	1	Windham	Dover
103	Vermont	2	Windham	Wardsboro
103	Vermont	2	Windham	Dover
104	Vermont	1	Windham	Dover
105	Vermont	1	Windham	Somerset
106	Vermont	1	Windham	Somerset
107	Vermont	1	Windham	Somerset
108	Vermont	1	Windham	Somerset
109	Vermont	1	Windham	Dover
110	Vermont	1	Windham	Dover
111	Vermont	1	Windham	Dover
112	Vermont	1	Windham	Dover
113	Vermont	1	Windham	Dover
114	Vermont	1	Bennington	Glastenbury
115	Vermont	1	Bennington	Glastenbury
116	Vermont	1	Bennington	Glastenbury
117	Vermont	1	Bennington	Glastenbury
118	Vermont	1	Windham	Somerset
119	Vermont	1	Windham	Somerset
120	Vermont	1	Windham	Somerset
121	Vermont	1	Windham	Somerset
122	Vermont	1	Windham	Somerset
123	Vermont	1	Windham	Somerset
124	Vermont	1	Bennington	Glastenbury
125	Vermont	1	Bennington	Glastenbury
126	Vermont	1	Bennington	Glastenbury
127	Vermont	1	Windham	Somerset
128	Vermont	1	Windham	Somerset
129	Vermont	1	Windham	Dover
130	Vermont	1	Windham	Dover
131	Vermont	1	Windham	Dover
132	Vermont	1	Windham	Dover
133	Vermont	1	Windham	Dover
134	Vermont	1	Windham	Dover
135	Vermont	1	Windham	Dover
136	Vermont	1	Windham	Dover
137	Vermont	1	Windham	Somerset
138	Vermont	1	Windham	Somerset
139	Vermont	1	Windham	Somerset
140	Vermont	1	Windham	Somerset
141	Vermont	1	Windham	Somerset
142	Vermont	1	Windham	Somerset
143	Vermont	1	Windham	Somerset
144	Vermont	1	Windham	Somerset
145	Vermont	1	Windham	Somerset
146	Vermont	1	Windham	Dover
147	Vermont	1	Windham	Dover
148	Vermont	1	Windham	Dover
149	Vermont	1	Windham	Dover
150	Vermont	1	Windham	Dover
151	Vermont	1	Bennington	Glastenbury
152	Vermont	1	Bennington	Glastenbury
153	Vermont	1	Bennington	Glastenbury
154	Vermont	1	Windham	Somerset
155	Vermont	1	Windham	Somerset
156	Vermont	1	Windham	Somerset
157	Vermont	1	Windham	Somerset
158	Vermont	1	Windham	Somerset
159	Vermont	1	Windham	Somerset
160	Vermont	1	Windham	Somerset
161	Vermont	1	Windham	Somerset
162	Vermont	1	Windham	Somerset
163	Vermont	1	Windham	Somerset
164	Vermont	1	Windham	Somerset
165	Vermont	1	Windham	Somerset
166	Vermont	1	Windham	Somerset
166	Vermont	1	Windham	Dover
167	Vermont	1	Windham	Somerset
168	Vermont	1	Windham	Somerset
169	Vermont	1	Windham	Somerset
170	Vermont	1	Windham	Somerset
171	Vermont	1	Windham	Somerset
172	Vermont	1	Windham	Somerset
173	Vermont	1	Windham	Somerset
174	Vermont	1	Bennington	Glastenbury
175	Vermont	1	Bennington	Glastenbury
176	Vermont	1	Bennington	Glastenbury
177	Vermont	1	Bennington	Glastenbury
178	Vermont	1	Bennington	Glastenbury
179	Vermont	1	Bennington	Glastenbury
180	Vermont	1	Bennington	Glastenbury
181	Vermont	1	Windham	Somerset
182	Vermont	1	Windham	Somerset
183	Vermont	1	Windham	Somerset
184	Vermont	1	Windham	Somerset
185	Vermont	1	Windham	Somerset
186	Vermont	1	Windham	Somerset
187	Vermont	1	Windham	Somerset
188	Vermont	1	Windham	Somerset
189	Vermont	1	Windham	Somerset
190	Vermont	1	Windham	Dover
191	Vermont	1	Windham	Dover
192	Vermont	1	Windham	Dover
193	Vermont	1	Windham	Dover
194	Vermont	1	Windham	Dover
195	Vermont	1	Windham	Dover
196	Vermont	1	Windham	Dover
197	Vermont	1	Windham	Somerset
198	Vermont	1	Windham	Somerset
199	Vermont	1	Bennington	Glastenbury
200	Vermont	1	Bennington	Glastenbury
201	Vermont	1	Windham	Dover
202	Vermont	1	Windham	Dover
203	Vermont	1	Windham	Dover
204	Vermont	1	Windham	Dover
205	Vermont	1	Windham	Dover
206	Vermont	1	Windham	Dover
207	Vermont	1	Windham	Dover
208	Vermont	1	Windham	Dover
209	Vermont	1	Windham	Dover
210	Vermont	1	Windham	Dover
211	Vermont	1	Windham	Dover
212	Vermont	1	Windham	Dover
213	Vermont	1	Windham	Dover
214	Vermont	1	Windham	Glastenbury
214	Vermont	1	Windham	Somerset
214	Vermont	1	Bennington	Glastenbury
214	Vermont	1	Bennington	Somerset
215	Vermont	1	Windham	Dover
216	Vermont	1	Windham	Dover
217	Vermont	1	Windham	Dover
218	Vermont	1	Windham	Dover
219	Vermont	1	Windham	Somerset
220	Vermont	1	Windham	Somerset
221	Vermont	1	Windham	Somerset
222	Vermont	1	Windham	Somerset
223	Vermont	1	Windham	Somerset
224	Vermont	1	Windham	Somerset
225	Vermont	1	Windham	Somerset
226	Vermont	1	Windham	Somerset
227	Vermont	1	Bennington	Glastenbury
228	Vermont	1	Bennington	Glastenbury
229	Vermont	1	Bennington	Glastenbury
230	Vermont	1	Bennington	Glastenbury
231	Vermont	1	Windham	Glastenbury
231	Vermont	1	Windham	Somerset
231	Vermont	1	Bennington	Glastenbury
231	Vermont	1	Bennington	Somerset
232	Vermont	1	Windham	Somerset
233	Vermont	1	Windham	Somerset
234	Vermont	1	Windham	Somerset
235	Vermont	1	Windham	Somerset
236	Vermont	1	Windham	Somerset
237	Vermont	1	Windham	Somerset
238	Vermont	1	Windham	Somerset
239	Vermont	1	Windham	Somerset
240	Vermont	1	Windham	Somerset
241	Vermont	1	Windham	Somerset
242	Vermont	1	Windham	Somerset
243	Vermont	1	Windham	Wilmington
244	Vermont	1	Windham	Dover
245	Vermont	1	Windham	Wilmington
246	Vermont	1	Windham	Dover
246	Vermont	1	Windham	Wilmington
247	Vermont	1	Windham	Wilmington
248	Vermont	1	Windham	Wilmington
249	Vermont	1	Windham	Dover
250	Vermont	1	Windham	Dover
250	Vermont	1	Windham	Wilmington
251	Vermont	1	Windham	Dover
251	Vermont	1	Windham	Wilmington
252	Vermont	1	Windham	Wilmington
253	Vermont	1	Windham	Dover
253	Vermont	1	Windham	Wilmington
254	Vermont	1	Windham	Somerset
255	Vermont	1	Windham	Somerset
256	Vermont	1	Windham	Somerset
257	Vermont	1	Windham	Wilmington
258	Vermont	1	Windham	Dover
259	Vermont	1	Windham	Dover
259	Vermont	1	Windham	Wilmington
260	Vermont	1	Windham	Dover
261	Vermont	1	Windham	Dover
262	Vermont	1	Windham	Dover
263	Vermont	1	Windham	Dover
264	Vermont	1	Windham	Dover
265	Vermont	1	Windham	Somerset
266	Vermont	1	Windham	Somerset
267	Vermont	1	Windham	Somerset
268	Vermont	1	Windham	Somerset
269	Vermont	1	Windham	Dover
269	Vermont	1	Windham	Wilmington
270	Vermont	1	Windham	Wilmington
271	Vermont	1	Windham	Wilmington
272	Vermont	1	Windham	Wilmington
273	Vermont	1	Windham	Wilmington
274	Vermont	1	Windham	Dover
275	Vermont	1	Windham	Dover
275	Vermont	1	Windham	Wilmington
276	Vermont	1	Windham	Dover
277	Vermont	1	Windham	Dover
278	Vermont	1	Windham	Wilmington
279	Vermont	1	Windham	Wilmington
280	Vermont	1	Windham	Wilmington
281	Vermont	1	Windham	Wilmington
282	Vermont	1	Windham	Wilmington
283	Vermont	1	Windham	Wilmington
284	Vermont	1	Windham	Wilmington
285	Vermont	1	Windham	Wilmington
286	Vermont	1	Windham	Somerset
287	Vermont	1	Windham	Glastenbury
287	Vermont	1	Windham	Somerset
287	Vermont	1	Bennington	Glastenbury
287	Vermont	1	Bennington	Somerset
288	Vermont	1	Windham	Somerset
289	Vermont	1	Windham	Somerset
290	Vermont	1	Windham	Somerset
291	Vermont	1	Windham	Somerset
292	Vermont	1	Windham	Somerset
293	Vermont	1	Windham	Somerset
294	Vermont	1	Windham	Somerset
295	Vermont	1	Windham	Somerset
296	Vermont	1	Windham	Somerset
297	Vermont	1	Windham	Somerset
298	Vermont	1	Windham	Somerset
299	Vermont	1	Bennington	Glastenbury
300	Vermont	1	Bennington	Glastenbury
301	Vermont	1	Bennington	Glastenbury
302	Vermont	1	Windham	Wilmington
303	Vermont	1	Windham	Wilmington
304	Vermont	1	Windham	Wilmington
305	Vermont	1	Windham	Wilmington
306	Vermont	1	Windham	Wilmington
307	Vermont	1	Windham	Wilmington
308	Vermont	1	Windham	Wilmington
309	Vermont	1	Windham	Wilmington
310	Vermont	1	Windham	Wilmington
311	Vermont	1	Windham	Wilmington
312	Vermont	1	Windham	Wilmington
313	Vermont	1	Windham	Wilmington
314	Vermont	1	Windham	Wilmington
315	Vermont	1	Windham	Wilmington
316	Vermont	1	Windham	Wilmington
317	Vermont	1	Windham	Wilmington
318	Vermont	1	Windham	Wilmington
319	Vermont	1	Windham	Wilmington
320	Vermont	1	Windham	Wilmington
321	Vermont	1	Windham	Wilmington
322	Vermont	1	Windham	Wilmington
323	Vermont	1	Windham	Somerset
323	Vermont	1	Windham	Searsburg
323	Vermont	1	Bennington	Somerset
323	Vermont	1	Bennington	Searsburg
324	Vermont	1	Bennington	Searsburg
325	Vermont	1	Windham	Searsburg
325	Vermont	1	Bennington	Searsburg
326	Vermont	1	Bennington	Searsburg
327	Vermont	1	Bennington	Searsburg
328	Vermont	1	Bennington	Searsburg
329	Vermont	1	Bennington	Searsburg
330	Vermont	1	Windham	Somerset
330	Vermont	1	Windham	Searsburg
330	Vermont	1	Bennington	Somerset
330	Vermont	1	Bennington	Searsburg
331	Vermont	1	Bennington	Searsburg
332	Vermont	1	Windham	Wilmington
333	Vermont	1	Windham	Wilmington
334	Vermont	1	Windham	Wilmington
335	Vermont	1	Windham	Wilmington
336	Vermont	1	Windham	Wilmington
337	Vermont	1	Windham	Wilmington
338	Vermont	1	Windham	Wilmington
339	Vermont	1	Windham	Wilmington
340	Vermont	1	Windham	Wilmington
341	Vermont	1	Windham	Wilmington
342	Vermont	1	Bennington	Searsburg
343	Vermont	1	Bennington	Searsburg
344	Vermont	1	Windham	Somerset
344	Vermont	1	Windham	Searsburg
344	Vermont	1	Bennington	Somerset
344	Vermont	1	Bennington	Searsburg
345	Vermont	1	Windham	Somerset
346	Vermont	1	Windham	Somerset
346	Vermont	1	Windham	Searsburg
346	Vermont	1	Bennington	Somerset
346	Vermont	1	Bennington	Searsburg
347	Vermont	1	Windham	Wilmington
348	Vermont	1	Windham	Wilmington
349	Vermont	1	Windham	Wilmington
350	Vermont	1	Windham	Somerset
350	Vermont	1	Windham	Searsburg
350	Vermont	1	Bennington	Somerset
350	Vermont	1	Bennington	Searsburg
351	Vermont	1	Windham	Wilmington
352	Vermont	1	Windham	Wilmington
353	Vermont	1	Windham	Wilmington
354	Vermont	1	Windham	Wilmington
355	Vermont	1	Windham	Wilmington
356	Vermont	1	Windham	Wilmington
357	Vermont	1	Windham	Wilmington
358	Vermont	1	Windham	Wilmington
359	Vermont	1	Windham	Wilmington
360	Vermont	1	Windham	Wilmington
361	Vermont	1	Windham	Wilmington
362	Vermont	1	Windham	Wilmington
363	Vermont	1	Windham	Wilmington
364	Vermont	1	Windham	Wilmington
365	Vermont	1	Windham	Wilmington
366	Vermont	1	Windham	Wilmington
367	Vermont	1	Windham	Wilmington
368	Vermont	1	Windham	Wilmington
369	Vermont	1	Windham	Wilmington
